item,rank,value,rankDelta,valueDelta
home-assistant/core,1,1394.45,0,-23.01
microsoft/vscode,2,1334.48,0,-36.42
NixOS/nixpkgs,3,1240.31,0,-0.31
flutter/flutter,4,886.61,0,-13.74
pytorch/pytorch,5,803.78,1,8.29
MicrosoftDocs/azure-docs,6,793.99,-1,-5.21
godotengine/godot,7,685.85,2,5.87
dotnet/runtime,8,680.36,0,-7.54
langchain-ai/langchain,9,592.57,6,74.53
rust-lang/rust,10,565.62,1,-25.74
vercel/next.js,11,536.36,5,26.43
firstcontributions/first-contributions,12,510.59,1,-24.73
microsoft/PowerToys,13,493.24,1,-26.39
microsoft/winget-pkgs,14,490.32,3,-16.02
Significant-Gravitas/AutoGPT,15,480.25,-8,-245.88
grafana/grafana,16,475.33,3,3.88
ValveSoftware/Dota2-Gameplay,17,474.77,-7,-143.07
wjz304/rpcb,18,458.52,0,-45.54
AUTOMATIC1111/stable-diffusion-webui,19,448.65,-7,-87.8
odoo/odoo,20,435.37,1,15.95
google/it-cert-automation-practice,21,430.5,-1,1.79
Homebrew/homebrew-core,22,421.25,1,14.74
zephyrproject-rtos/zephyr,23,384.87,2,-4.42
kubernetes/kubernetes,24,381.72,0,-20.14
elastic/kibana,25,379.54,1,-4.0
ibm-developer-skills-network/jbbmo-Introduction-to-Git-and-GitHub,26,375.27,4,32.12
python/cpython,27,370.47,-5,-38.32
Expensify/App,28,368.78,5,47.61
huggingface/transformers,29,346.57,-1,-8.52
elementor/elementor,30,338.45,-3,-26.19
WordPress/gutenberg,31,330.44,-2,-12.77
ultralytics/ultralytics,32,330.04,8,36.68
LeetCode-Feedback/LeetCode-Feedback,33,328.56,3,21.76
ClickHouse/ClickHouse,34,314.63,4,12.15
PaddlePaddle/Paddle,35,306.84,-3,-23.62
Meta-Front-End-Developer-PC/m3l2_forking_lab,36,305.69,-1,-1.23
dotnet/maui,37,302.97,-3,-14.72
Unirep/trusted-setup,38,299.12,0,299.12
airbytehq/airbyte,39,298.63,0,5.1
microsoft/playwright,40,297.18,-3,-5.72
mdn/content,41,294.03,3,5.05
unifyai/ivy,42,293.14,13,42.67
facebook/react-native,43,283.55,5,12.55
ray-project/ray,44,280.97,1,-7.26
raycast/extensions,45,279.59,-2,-12.14
expo/expo,46,279.51,0,-6.58
yuzu-emu/yuzu,47,278.24,7,27.65
oobabooga/text-generation-webui,48,277.45,-17,-58.43
microsoft/vcpkg,49,275.78,1,15.88
ant-design/ant-design,50,274.53,-9,-18.55
getsentry/sentry,51,272.81,8,27.62
cypress-io/cypress,52,268.96,-5,-9.1
apache/airflow,53,264.17,-4,-2.39
run-llama/llama_index,54,258.8,-12,-33.35
Ultimaker/Cura,55,255.31,-4,-2.79
keycloak/keycloak,56,250.19,13,16.49
quarkusio/quarkus,57,246.77,3,1.65
nodejs/node,58,244.44,-6,-13.24
nrwl/nx,59,243.21,-2,-2.68
microsoft/TypeScript,60,242.82,10,12.03
hashicorp/terraform-provider-aws,61,237.83,0,-6.25
dotnet/aspnetcore,62,235.31,-4,-10.49
go-gitea/gitea,63,234.3,5,-0.64
golang/go,64,234.28,-1,-5.37
prisma/prisma,65,233.96,25,20.47
GH-Event-Demos/random-name-picker,66,233.89,68,55.02
kubernetes/website,67,233.51,-14,-17.99
tgstation/tgstation,68,232.53,-2,-6.3
openshift/openshift-docs,69,228.85,-4,-10.29
Azure/azure-rest-api-specs,70,225.44,11,7.75
ruffle-rs/ruffle,71,224.92,20,11.81
openshift/release,72,222.26,15,7.4
elastic/elasticsearch,73,221.44,6,0.36
uBlockOrigin/uAssets,74,220.93,-10,-18.27
Azure/azure-sdk-for-net,75,219.07,8,1.85
yt-dlp/yt-dlp,76,218.67,20,8.66
tensorflow/tensorflow,77,215.55,-2,-7.17
huggingface/diffusers,78,214.91,2,-3.36
nextcloud/server,79,214.84,14,3.51
pandas-dev/pandas,80,214.21,-13,-20.77
hashicorp/terraform-provider-azurerm,81,213.87,-3,-8.04
mui/material-ui,82,213.69,-9,-11.62
Automattic/wp-calypso,83,213.5,14,4.59
nuxt/nuxt,84,211.91,-12,-14.18
mui/mui-x,85,211.21,19,7.95
dotnet/roslyn,86,209.65,-15,-16.74
MaaAssistantArknights/MaaAssistantArknights,87,208.5,-25,-34.73
CleverRaven/Cataclysm-DDA,88,207.49,6,-3.39
Yidadaa/ChatGPT-Next-Web,89,205.73,-15,-18.26
Ryujinx/Ryujinx,90,205.47,-6,-11.08
Koenkk/zigbee2mqtt,91,204.7,-2,-9.5
storybookjs/storybook,92,203.82,-16,-18.84
sourcegraph/sourcegraph,93,203.19,12,1.41
llvm/llvm-project,94,203.17,5,-3.4
aws/aws-cdk,95,201.75,-10,-13.51
openjdk/jdk,96,201.58,4,-3.69
PrestaShop/PrestaShop,97,201.33,-15,-16.15
WebKit/WebKit,98,200.93,3,-3.37
strapi/strapi,99,200.71,29,19.04
JetBrains/swot,100,200.68,-14,-14.29
